Municipality Code,State,Municipality,Population,Observed Deaths,Deaths Counterfactual,Deaths Averted,Percent of Counterfactual Deaths Averted,"Observed Death Rate, per 100,000","Counterfactual Death Rate, per 100,000","Averted Death Rate, per 100,000"
120040,Acre,Rio Branco,419452,848,1144.840164,296.8401639,25.92852463,202.1685437,272.9371093,70.76856562
120045,Acre,Senador Guiomard,23446,2,3.394486945,1.394486945,41.0809341,8.5302397,14.47789365,5.947653948
120050,Acre,Sena Madureira,47168,0,0,0,NA,0,0,0
130002,Amazonas,Alvarães,16396,3,3.944975842,0.944975842,23.95390693,18.29714565,24.06059918,5.763453535
130006,Amazonas,Amaturá,11934,4,4.335542007,0.335542007,7.739332388,33.51768058,36.32932803,2.81164745
130008,Amazonas,Anamã,14292,6,6.430823778,0.430823778,6.699355984,41.98152813,44.99596822,3.014440089
130010,Amazonas,Anori,21937,9,9.120553404,0.120553404,1.321777294,41.0265761,41.57611982,0.549543711
130014,Amazonas,Apuí,22739,14,14.96792787,0.967927869,6.466679136,61.56823079,65.82491696,4.256686172
130020,Amazonas,Atalaia do Norte,20868,4,4.18237855,0.18237855,4.360641856,19.16810427,20.04206704,0.873962764
130030,Amazonas,Autazes,41005,35,44.78674941,9.786749406,21.85188596,85.35544446,109.2226543,23.86720987
130040,Amazonas,Barcelos,27772,19,20.97538828,1.975388279,9.417648211,68.41423016,75.52710744,7.112877283
130050,Amazonas,Barreirinha,32919,33,74.59204442,41.59204442,55.7593571,100.2460585,226.5926803,126.3466218
130060,Amazonas,Benjamin Constant,44873,32,37.64062698,5.640626976,14.98547561,71.31237047,83.88257299,12.57020252
130063,Amazonas,Beruri,20503,13,13.89377086,0.893770862,6.432889031,63.40535531,67.76457524,4.359219928
130068,Amazonas,Boa Vista do Ramos,20040,2,2.140411486,0.140411486,6.560022999,9.98003992,10.68069604,0.700656116
130070,Amazonas,Boca do Acre,34958,6,8.106309019,2.106309019,25.98357667,17.16345329,23.18870936,6.025256076
